weekly,monthly,yearly,weekly_prepost,holidays,covid_regressors,RMSE_last,MAE_last,RMSE_cv_mean,MAE_cv_mean
True,False,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",149.6588906661293,113.1599801763045,155.9171653942844,115.23681787795118
True,False,False,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",162.48506928082347,121.01693838148827,156.41701445864337,116.90373203442097
False,False,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",152.8545658002252,116.96189460495374,156.69787358411565,117.09861320193878
True,False,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",152.8545658002252,116.96189460495374,156.69787358411565,117.09861320193878
True,True,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",149.24325331295248,111.23681729402662,156.80543686718033,116.550713787943
True,False,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",163.9242716234251,123.31176154557502,157.07629071447641,119.25538433774776
False,False,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",163.9242716234251,123.31176154557502,157.07629071447641,119.25538433774776
False,True,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",151.25998541547602,113.2679381523598,157.54048239741206,118.91342181932134
True,True,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",151.25998541547602,113.2679381523598,157.54048239741206,118.91342181932134
True,True,False,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",160.8869150003139,117.39036391479368,157.73047602846847,117.86392071219824
False,True,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",163.25358017404346,120.34101936578323,158.4717815996492,120.84053479541089
True,True,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",163.25358017404346,120.34101936578323,158.4717815996492,120.84053479541089
True,False,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",149.52988568940242,113.10507280515641,158.77148818344912,117.26827653731904
False,False,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",152.6220627349346,116.84300894045354,159.35168489797914,118.63000225081443
True,False,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",152.6220627349346,116.84300894045354,159.35168489797914,118.63000225081443
True,False,False,False,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",160.95539652556502,119.36921094986869,159.767172216273,118.6164129872847
False,False,False,True,False,,159.88871802222923,119.24159944191551,159.8336983579557,121.00009236549508
True,False,False,True,False,,159.88871802222923,119.24159944191551,159.8336983579557,121.00009236549508
True,False,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",165.0247635549212,124.40994056743202,159.93132917854098,120.70148631592653
False,False,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",165.0247635549212,124.40994056743202,159.93132917854098,120.70148631592653
True,True,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",150.55492836436758,112.53118986256835,159.98793552675363,118.20214633338152
True,True,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",153.0385521991102,115.13212635440303,160.54202487129427,120.6642259827791
False,True,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",153.0385521991102,115.13212635440303,160.54202487129427,120.6642259827791
True,True,False,False,True,,145.16801922115664,109.7131344701491,160.72078479615917,118.09309976443411
True,True,False,False,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",160.3126755692817,116.70151385148111,161.0636396807801,119.58527715100593
False,True,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",163.33867429158292,120.35706457071446,161.41203893585092,122.39833292204649
True,True,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",163.33867429158292,120.35706457071446,161.41203893585092,122.39833292204649
True,False,False,False,False,,159.79603970363607,118.20622236750954,161.46646260733857,119.80931262716352
True,True,False,True,True,,147.5012672924128,112.93917172513328,161.51181032740692,120.15544454397379
False,True,False,True,True,,147.5012672924128,112.93917172513328,161.51181032740692,120.15544454397379
True,False,False,False,True,,145.65534722633177,110.90105808396031,161.9866895154391,118.87442474394798
True,True,False,False,False,,160.22868235392727,117.54860389752943,163.03638275637567,120.32950538138927
False,False,False,True,True,,148.55920729255865,114.7466464816283,163.13504045427578,121.15409001499486
True,False,False,True,True,,148.55920729255865,114.7466464816283,163.13504045427578,121.15409001499486
True,True,False,True,False,,162.95936051707324,121.40964945944737,163.38437997404066,123.00748545077738
False,True,False,True,False,,162.95936051707324,121.40964945944737,163.38437997404066,123.00748545077738
True,True,True,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",132.17218757980748,89.38125321349575,177.68400411711158,130.51786233628482
True,True,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",135.16480659800942,93.39395030828612,177.9308978341143,134.6252332696732
False,True,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",135.16480659800942,93.39395030828612,177.9308978341143,134.6252332696732
True,False,True,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",133.1483706148682,88.31353812274213,178.08787342733518,129.58432949038973
True,False,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",135.97852390970027,93.17350902016798,178.78565625001673,134.05740584887477
False,False,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",135.97852390970027,93.17350902016798,178.78565625001673,134.05740584887477
True,False,True,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",133.43674295115258,88.38920321542433,179.76362043353762,130.91656653960064
False,False,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",135.97508140971175,92.90698841700947,179.90801946244778,134.86110819430004
True,False,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",135.97508140971175,92.90698841700947,179.90801946244778,134.86110819430004
True,True,True,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",137.3055260984562,94.14523939397114,179.91081349857367,132.36633975196293
True,True,True,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",132.30306648951446,89.40774412264864,180.17701048635396,131.9194289482507
False,True,True,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",140.26938722372154,98.67925890918758,180.68996111618532,137.0442482487835
True,True,True,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",140.26938722372154,98.67925890918758,180.68996111618532,137.0442482487835
False,True,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",135.07603678891132,93.44467231169735,180.99116012089823,136.61201785340484
True,True,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",135.07603678891132,93.44467231169735,180.99116012089823,136.61201785340484
True,False,True,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",137.13524852678128,92.13356905516893,181.249254478844,132.91868778939252
False,False,True,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",140.02272114368418,96.96568307921345,181.4275506488993,136.85091687432447
