weekly,monthly,yearly,weekly_prepost,holidays,covid_regressors,RMSE_last,MAE_last,RMSE_cv_mean,MAE_cv_mean
True,False,False,False,True,,6084.949559041838,4797.5006021862455,8051.954767246617,5546.918128109183
True,False,False,False,False,,6830.632025651881,5281.180220662984,8077.505675528966,5619.291078627838
True,True,False,False,False,,6884.36140060388,5292.479645817649,8083.12407774179,5634.845743008978
True,False,False,True,True,,5768.779143213631,4435.171794101082,8086.785557493867,5540.149563265058
False,False,False,True,True,,5768.779143213631,4435.171794101082,8086.785557493867,5540.149563265058
False,True,False,True,False,,6620.133747450638,4912.785640999766,8089.254972353577,5598.206269873409
True,True,False,True,False,,6620.133747450638,4912.785640999766,8089.254972353577,5598.206269873409
True,True,False,False,True,,6030.8257219321395,4762.396698222184,8095.003789478174,5614.819682743685
True,False,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6144.144617028944,4808.260103612576,8099.362799276944,5678.114008980238
True,True,False,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6036.7208026025755,4736.312603828921,8103.952376605458,5710.78274966946
False,False,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5920.167394818816,4518.523549797509,8113.895049559573,5662.790856958289
True,False,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5920.167394818816,4518.523549797509,8113.895049559573,5662.790856958289
True,False,False,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6946.85925412057,5322.066006758977,8118.380089555725,5734.757860476621
False,True,False,True,True,,5758.148667237532,4443.538960270113,8120.430351750573,5587.093168159346
True,True,False,True,True,,5758.148667237532,4443.538960270113,8120.430351750573,5587.093168159346
True,True,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5815.332768813603,4429.172402402212,8124.265543429993,5703.450625798304
False,True,False,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5815.332768813603,4429.172402402212,8124.265543429993,5703.450625798304
False,False,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6824.770138081173,5056.46495310993,8156.01596770453,5734.9010224828035
True,False,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6824.770138081173,5056.46495310993,8156.01596770453,5734.9010224828035
True,True,False,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6955.5996015107185,5319.411120408768,8159.863063622684,5802.848835875449
True,False,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",6173.643842626968,4827.727506886411,8161.819089652221,5765.413306376595
True,False,False,True,False,,6727.322210718947,4988.955373247029,8166.8601711447645,5673.191646362668
False,False,False,True,False,,6727.322210718947,4988.955373247029,8166.8601711447645,5673.191646362668
True,True,False,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5983.093090023944,4698.311485346771,8172.700859193103,5804.389033142878
True,False,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5901.733482993509,4505.505818672936,8187.335045015332,5733.573317937134
False,False,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5901.733482993509,4505.505818672936,8187.335045015332,5733.573317937134
True,True,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6778.208607315902,5026.2926275118,8194.451194671898,5798.75922803371
False,True,False,True,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6778.208607315902,5026.2926275118,8194.451194671898,5798.75922803371
True,False,False,False,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",6991.002742848413,5345.275546618054,8202.549498002676,5820.4359154115655
False,False,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",6809.454042683619,5045.474284352745,8203.011885326849,5791.6365187164165
True,False,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",6809.454042683619,5045.474284352745,8203.011885326849,5791.6365187164165
True,True,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5843.275374848088,4445.459324737524,8214.19894469139,5793.264220987078
False,True,False,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5843.275374848088,4445.459324737524,8214.19894469139,5793.264220987078
True,True,False,False,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",6907.294409287736,5291.651024685667,8237.966225175134,5876.509843476451
False,True,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",6768.13241159425,5017.219651244978,8274.395366615296,5866.888636489741
True,True,False,True,False,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",6768.13241159425,5017.219651244978,8274.395366615296,5866.888636489741
True,False,True,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5616.592035720895,4677.800611841513,8886.29260263772,6505.245682942151
True,False,True,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5589.836551922074,4639.808162805242,8920.93796048531,6529.4255448578515
True,True,True,False,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5527.921157026686,4570.288183726286,8924.779612044224,6544.598717599731
True,True,True,False,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5504.203168445938,4546.859018739531,8929.428902021546,6538.245188538078
False,False,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5386.3429693076705,4488.44510156103,8939.457284646658,6516.326674970523
True,False,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5386.3429693076705,4488.44510156103,8939.457284646658,6516.326674970523
True,False,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5344.775925850678,4433.834378250446,8943.503037647935,6513.1247895580655
False,False,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5344.775925850678,4433.834378250446,8943.503037647935,6513.1247895580655
True,True,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5265.514282017054,4350.969092206101,8947.293259081272,6522.467307786379
False,True,True,True,True,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",5265.514282017054,4350.969092206101,8947.293259081272,6522.467307786379
True,True,True,False,False,"['dummy_emilia_full_open', 'dummy_emilia_restricted_open', 'dummy_emilia_takeaway_only']",6310.548291385938,5161.295810778504,8975.05106361047,6624.35472299466
True,True,True,True,True,"['dummy_lombardia_full_open', 'dummy_lombardia_restricted_open', 'dummy_lombardia_takeaway_only']",5312.600638986533,4396.151620898303,8990.830064786667,6550.774304481074
