,scontrini,totale,giorno,scontrino_medio,data,dummy_emilia_full_open,dummy_emilia_restricted_open,dummy_emilia_takeaway_only,dummy_lombardia_full_open,dummy_lombardia_restricted_open,dummy_lombardia_takeaway_only,is_post_covid
243,815.0,12843.98,Saturday,15.759484662576687,2018-09-01,1.0,0.0,0.0,1.0,0.0,0.0,0
244,614.0,11186.6,Sunday,18.219218241042345,2018-09-02,1.0,0.0,0.0,1.0,0.0,0.0,0
245,732.0,11780.12,Monday,16.093060109289617,2018-09-03,1.0,0.0,0.0,1.0,0.0,0.0,0
246,763.0,11823.71,Tuesday,15.496343381389252,2018-09-04,1.0,0.0,0.0,1.0,0.0,0.0,0
247,750.0,11815.69,Wednesday,15.754253333333335,2018-09-05,1.0,0.0,0.0,1.0,0.0,0.0,0
248,746.0,11993.69,Thursday,16.077332439678283,2018-09-06,1.0,0.0,0.0,1.0,0.0,0.0,0
249,717.0,11423.54,Friday,15.932412831241285,2018-09-07,1.0,0.0,0.0,1.0,0.0,0.0,0
250,800.0,11788.2,Saturday,14.73525,2018-09-08,1.0,0.0,0.0,1.0,0.0,0.0,0
251,655.0,10599.98,Sunday,16.183175572519083,2018-09-09,1.0,0.0,0.0,1.0,0.0,0.0,0
252,745.0,11130.57,Monday,14.940362416107382,2018-09-10,1.0,0.0,0.0,1.0,0.0,0.0,0
253,756.0,13003.04,Tuesday,17.19978835978836,2018-09-11,1.0,0.0,0.0,1.0,0.0,0.0,0
254,792.0,12288.31,Wednesday,15.515542929292929,2018-09-12,1.0,0.0,0.0,1.0,0.0,0.0,0
255,856.0,13875.23,Thursday,16.209380841121494,2018-09-13,1.0,0.0,0.0,1.0,0.0,0.0,0
256,871.0,15439.51,Friday,17.726188289322618,2018-09-14,1.0,0.0,0.0,1.0,0.0,0.0,0
257,848.0,14223.96,Saturday,16.773537735849054,2018-09-15,1.0,0.0,0.0,1.0,0.0,0.0,0
258,699.0,12816.9,Sunday,18.33605150214592,2018-09-16,1.0,0.0,0.0,1.0,0.0,0.0,0
259,851.0,13568.51,Monday,15.944195064629847,2018-09-17,1.0,0.0,0.0,1.0,0.0,0.0,0
260,767.0,12033.68,Tuesday,15.689282920469362,2018-09-18,1.0,0.0,0.0,1.0,0.0,0.0,0
261,823.0,12817.3,Wednesday,15.573876063183475,2018-09-19,1.0,0.0,0.0,1.0,0.0,0.0,0
262,901.0,13613.09,Thursday,15.108867924528303,2018-09-20,1.0,0.0,0.0,1.0,0.0,0.0,0
263,929.0,14983.24,Friday,16.128353067814853,2018-09-21,1.0,0.0,0.0,1.0,0.0,0.0,0
264,880.0,15441.72,Saturday,17.547409090909092,2018-09-22,1.0,0.0,0.0,1.0,0.0,0.0,0
265,694.0,12159.36,Sunday,17.520691642651297,2018-09-23,1.0,0.0,0.0,1.0,0.0,0.0,0
266,836.0,11598.6,Monday,13.873923444976077,2018-09-24,1.0,0.0,0.0,1.0,0.0,0.0,0
267,892.0,11984.04,Tuesday,13.435022421524664,2018-09-25,1.0,0.0,0.0,1.0,0.0,0.0,0
268,856.0,11345.04,Wednesday,13.25355140186916,2018-09-26,1.0,0.0,0.0,1.0,0.0,0.0,0
269,864.0,11002.09,Thursday,12.733900462962962,2018-09-27,1.0,0.0,0.0,1.0,0.0,0.0,0
270,1020.0,15066.39,Friday,14.770970588235294,2018-09-28,1.0,0.0,0.0,1.0,0.0,0.0,0
271,971.0,15134.25,Saturday,15.586251287332647,2018-09-29,1.0,0.0,0.0,1.0,0.0,0.0,0
272,816.0,12143.26,Sunday,14.881446078431372,2018-09-30,1.0,0.0,0.0,1.0,0.0,0.0,0
273,770.0,11408.09,Monday,14.815701298701299,2018-10-01,1.0,0.0,0.0,1.0,0.0,0.0,0
274,834.0,11907.89,Tuesday,14.27804556354916,2018-10-02,1.0,0.0,0.0,1.0,0.0,0.0,0
275,829.0,11979.33,Wednesday,14.450337756332932,2018-10-03,1.0,0.0,0.0,1.0,0.0,0.0,0
276,772.0,11825.58,Thursday,15.318108808290155,2018-10-04,1.0,0.0,0.0,1.0,0.0,0.0,0
277,859.0,14141.74,Friday,16.463026775320138,2018-10-05,1.0,0.0,0.0,1.0,0.0,0.0,0
278,895.0,14045.93,Saturday,15.69377653631285,2018-10-06,1.0,0.0,0.0,1.0,0.0,0.0,0
279,629.0,11066.3,Sunday,17.593481717011127,2018-10-07,1.0,0.0,0.0,1.0,0.0,0.0,0
280,775.0,11233.56,Monday,14.494916129032257,2018-10-08,1.0,0.0,0.0,1.0,0.0,0.0,0
281,774.0,10914.04,Tuesday,14.100826873385014,2018-10-09,1.0,0.0,0.0,1.0,0.0,0.0,0
282,735.0,10808.74,Wednesday,14.705768707482992,2018-10-10,1.0,0.0,0.0,1.0,0.0,0.0,0
283,782.0,11791.7,Thursday,15.078900255754476,2018-10-11,1.0,0.0,0.0,1.0,0.0,0.0,0
284,953.0,16187.84,Friday,16.986190975865686,2018-10-12,1.0,0.0,0.0,1.0,0.0,0.0,0
285,920.0,14748.9,Saturday,16.03141304347826,2018-10-13,1.0,0.0,0.0,1.0,0.0,0.0,0
286,648.0,11442.82,Sunday,17.658672839506174,2018-10-14,1.0,0.0,0.0,1.0,0.0,0.0,0
287,836.0,12461.62,Monday,14.906244019138757,2018-10-15,1.0,0.0,0.0,1.0,0.0,0.0,0
288,743.0,11029.54,Tuesday,14.844602960969045,2018-10-16,1.0,0.0,0.0,1.0,0.0,0.0,0
289,799.0,11798.12,Wednesday,14.76610763454318,2018-10-17,1.0,0.0,0.0,1.0,0.0,0.0,0
290,756.0,11284.85,Thursday,14.927050264550266,2018-10-18,1.0,0.0,0.0,1.0,0.0,0.0,0
291,810.0,13217.57,Friday,16.317987654320987,2018-10-19,1.0,0.0,0.0,1.0,0.0,0.0,0
292,889.0,15529.33,Saturday,17.468312710911135,2018-10-20,1.0,0.0,0.0,1.0,0.0,0.0,0
293,667.0,12428.96,Sunday,18.634122938530734,2018-10-21,1.0,0.0,0.0,1.0,0.0,0.0,0
294,748.0,10755.89,Monday,14.379532085561497,2018-10-22,1.0,0.0,0.0,1.0,0.0,0.0,0
295,732.0,10327.86,Tuesday,14.109098360655738,2018-10-23,1.0,0.0,0.0,1.0,0.0,0.0,0
296,779.0,11977.71,Wednesday,15.375750962772784,2018-10-24,1.0,0.0,0.0,1.0,0.0,0.0,0
297,693.0,10496.8,Thursday,15.146897546897545,2018-10-25,1.0,0.0,0.0,1.0,0.0,0.0,0
298,765.0,12078.83,Friday,15.789320261437908,2018-10-26,1.0,0.0,0.0,1.0,0.0,0.0,0
299,751.0,12071.97,Saturday,16.074527296937415,2018-10-27,1.0,0.0,0.0,1.0,0.0,0.0,0
300,596.0,10206.58,Sunday,17.12513422818792,2018-10-28,1.0,0.0,0.0,1.0,0.0,0.0,0
301,701.0,9562.61,Monday,13.641383737517833,2018-10-29,1.0,0.0,0.0,1.0,0.0,0.0,0
302,755.0,11059.99,Tuesday,14.648993377483443,2018-10-30,1.0,0.0,0.0,1.0,0.0,0.0,0
303,894.0,15086.07,Wednesday,16.87479865771812,2018-10-31,1.0,0.0,0.0,1.0,0.0,0.0,0
304,620.0,10876.23,Thursday,17.5423064516129,2018-11-01,1.0,0.0,0.0,1.0,0.0,0.0,0
305,685.0,12074.77,Friday,17.627401459854017,2018-11-02,1.0,0.0,0.0,1.0,0.0,0.0,0
306,787.0,11752.32,Saturday,14.933062261753493,2018-11-03,1.0,0.0,0.0,1.0,0.0,0.0,0
307,708.0,12910.22,Sunday,18.234774011299436,2018-11-04,1.0,0.0,0.0,1.0,0.0,0.0,0
308,799.0,11370.47,Monday,14.230876095118898,2018-11-05,1.0,0.0,0.0,1.0,0.0,0.0,0
309,690.0,9450.29,Tuesday,13.696072463768116,2018-11-06,1.0,0.0,0.0,1.0,0.0,0.0,0
310,747.0,10806.34,Wednesday,14.466318607764391,2018-11-07,1.0,0.0,0.0,1.0,0.0,0.0,0
311,748.0,10945.21,Thursday,14.63263368983957,2018-11-08,1.0,0.0,0.0,1.0,0.0,0.0,0
312,833.0,13391.13,Friday,16.07578631452581,2018-11-09,1.0,0.0,0.0,1.0,0.0,0.0,0
313,891.0,14978.84,Saturday,16.811268237934904,2018-11-10,1.0,0.0,0.0,1.0,0.0,0.0,0
314,628.0,11455.11,Sunday,18.240621019108282,2018-11-11,1.0,0.0,0.0,1.0,0.0,0.0,0
315,719.0,10926.68,Monday,15.197051460361614,2018-11-12,1.0,0.0,0.0,1.0,0.0,0.0,0
316,730.0,10478.71,Tuesday,14.354397260273972,2018-11-13,1.0,0.0,0.0,1.0,0.0,0.0,0
317,741.0,11026.39,Wednesday,14.880418353576248,2018-11-14,1.0,0.0,0.0,1.0,0.0,0.0,0
318,760.0,11563.72,Thursday,15.215421052631578,2018-11-15,1.0,0.0,0.0,1.0,0.0,0.0,0
319,956.0,16157.01,Friday,16.900638075313807,2018-11-16,1.0,0.0,0.0,1.0,0.0,0.0,0
320,920.0,15342.97,Saturday,16.677141304347824,2018-11-17,1.0,0.0,0.0,1.0,0.0,0.0,0
321,663.0,13307.55,Sunday,20.071719457013575,2018-11-18,1.0,0.0,0.0,1.0,0.0,0.0,0
322,866.0,10814.45,Monday,12.48781755196305,2018-11-19,1.0,0.0,0.0,1.0,0.0,0.0,0
323,837.0,11626.06,Tuesday,13.89015531660693,2018-11-20,1.0,0.0,0.0,1.0,0.0,0.0,0
324,904.0,12861.76,Wednesday,14.227610619469027,2018-11-21,1.0,0.0,0.0,1.0,0.0,0.0,0
325,902.0,14554.24,Thursday,16.135521064301553,2018-11-22,1.0,0.0,0.0,1.0,0.0,0.0,0
326,980.0,15385.41,Friday,15.699397959183674,2018-11-23,1.0,0.0,0.0,1.0,0.0,0.0,0
327,1057.0,16580.52,Saturday,15.68639545884579,2018-11-24,1.0,0.0,0.0,1.0,0.0,0.0,0
328,741.0,12675.44,Sunday,17.105856950067476,2018-11-25,1.0,0.0,0.0,1.0,0.0,0.0,0
329,765.0,10612.34,Monday,13.872339869281046,2018-11-26,1.0,0.0,0.0,1.0,0.0,0.0,0
330,748.0,10650.12,Tuesday,14.238128342245991,2018-11-27,1.0,0.0,0.0,1.0,0.0,0.0,0
331,734.0,11405.91,Wednesday,15.539386920980926,2018-11-28,1.0,0.0,0.0,1.0,0.0,0.0,0
332,782.0,11902.71,Thursday,15.220856777493605,2018-11-29,1.0,0.0,0.0,1.0,0.0,0.0,0
333,834.0,12770.72,Friday,15.312613908872901,2018-11-30,1.0,0.0,0.0,1.0,0.0,0.0,0
334,1023.0,16658.55,Saturday,16.28401759530792,2018-12-01,1.0,0.0,0.0,1.0,0.0,0.0,0
335,673.0,11618.35,Sunday,17.263521545319467,2018-12-02,1.0,0.0,0.0,1.0,0.0,0.0,0
336,806.0,12536.88,Monday,15.554441687344912,2018-12-03,1.0,0.0,0.0,1.0,0.0,0.0,0
337,787.0,10832.39,Tuesday,13.76415501905972,2018-12-04,1.0,0.0,0.0,1.0,0.0,0.0,0
338,763.0,12706.45,Wednesday,16.65327653997379,2018-12-05,1.0,0.0,0.0,1.0,0.0,0.0,0
339,798.0,11058.22,Thursday,13.857418546365913,2018-12-06,1.0,0.0,0.0,1.0,0.0,0.0,0
340,985.0,15854.34,Friday,16.095776649746192,2018-12-07,1.0,0.0,0.0,1.0,0.0,0.0,0
341,817.0,14516.33,Saturday,17.76784577723378,2018-12-08,1.0,0.0,0.0,1.0,0.0,0.0,0
342,614.0,12406.9,Sunday,20.206677524429967,2018-12-09,1.0,0.0,0.0,1.0,0.0,0.0,0
343,843.0,12540.0,Monday,14.875444839857652,2018-12-10,1.0,0.0,0.0,1.0,0.0,0.0,0
344,777.0,11924.14,Tuesday,15.346383526383526,2018-12-11,1.0,0.0,0.0,1.0,0.0,0.0,0
345,898.0,13367.23,Wednesday,14.88555679287305,2018-12-12,1.0,0.0,0.0,1.0,0.0,0.0,0
346,783.0,11350.12,Thursday,14.495683269476373,2018-12-13,1.0,0.0,0.0,1.0,0.0,0.0,0
347,950.0,15193.93,Friday,15.99361052631579,2018-12-14,1.0,0.0,0.0,1.0,0.0,0.0,0
348,978.0,17585.6,Saturday,17.98118609406953,2018-12-15,1.0,0.0,0.0,1.0,0.0,0.0,0
349,646.0,11973.56,Sunday,18.534922600619193,2018-12-16,1.0,0.0,0.0,1.0,0.0,0.0,0
350,1015.0,18129.79,Monday,17.861862068965518,2018-12-17,1.0,0.0,0.0,1.0,0.0,0.0,0
351,1048.0,18772.23,Tuesday,17.91243320610687,2018-12-18,1.0,0.0,0.0,1.0,0.0,0.0,0
352,760.0,11787.27,Wednesday,15.509565789473685,2018-12-19,1.0,0.0,0.0,1.0,0.0,0.0,0
353,911.0,13317.91,Thursday,14.619001097694841,2018-12-20,1.0,0.0,0.0,1.0,0.0,0.0,0
354,1058.0,19795.12,Friday,18.709943289224952,2018-12-21,1.0,0.0,0.0,1.0,0.0,0.0,0
355,1016.0,18650.7,Saturday,18.356988188976377,2018-12-22,1.0,0.0,0.0,1.0,0.0,0.0,0
356,623.0,12882.01,Sunday,20.677383627608346,2018-12-23,1.0,0.0,0.0,1.0,0.0,0.0,0
357,760.0,13528.66,Monday,17.80086842105263,2018-12-24,1.0,0.0,0.0,1.0,0.0,0.0,0
358,0.0,0.0,Tuesday,0.0,2018-12-25,1.0,0.0,0.0,1.0,0.0,0.0,0
359,0.0,0.0,Wednesday,0.0,2018-12-26,1.0,0.0,0.0,1.0,0.0,0.0,0
360,716.0,12819.61,Thursday,17.904483240223463,2018-12-27,1.0,0.0,0.0,1.0,0.0,0.0,0
361,744.0,13939.69,Friday,18.73614247311828,2018-12-28,1.0,0.0,0.0,1.0,0.0,0.0,0
362,834.0,15574.01,Saturday,18.673872901678656,2018-12-29,1.0,0.0,0.0,1.0,0.0,0.0,0
363,652.0,12731.63,Sunday,19.527039877300613,2018-12-30,1.0,0.0,0.0,1.0,0.0,0.0,0
364,546.0,9180.07,Monday,16.813315018315016,2018-12-31,1.0,0.0,0.0,1.0,0.0,0.0,0
365,0.0,0.0,Tuesday,0.0,2019-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0
366,756.0,13875.79,Wednesday,18.35421957671958,2019-01-02,1.0,0.0,0.0,1.0,0.0,0.0,0
367,636.0,9393.6,Thursday,14.769811320754718,2019-01-03,1.0,0.0,0.0,1.0,0.0,0.0,0
368,678.0,11828.14,Friday,17.445634218289086,2019-01-04,1.0,0.0,0.0,1.0,0.0,0.0,0
369,809.0,14025.77,Saturday,17.33716934487021,2019-01-05,1.0,0.0,0.0,1.0,0.0,0.0,0
370,567.0,11059.59,Sunday,19.505449735449737,2019-01-06,1.0,0.0,0.0,1.0,0.0,0.0,0
371,678.0,9842.04,Monday,14.51628318584071,2019-01-07,1.0,0.0,0.0,1.0,0.0,0.0,0
372,649.0,9320.28,Tuesday,14.360986132511558,2019-01-08,1.0,0.0,0.0,1.0,0.0,0.0,0
373,684.0,10346.17,Wednesday,15.125979532163743,2019-01-09,1.0,0.0,0.0,1.0,0.0,0.0,0
374,742.0,11829.23,Thursday,15.942358490566036,2019-01-10,1.0,0.0,0.0,1.0,0.0,0.0,0
375,759.0,12354.73,Friday,16.27764163372859,2019-01-11,1.0,0.0,0.0,1.0,0.0,0.0,0
376,882.0,14878.34,Saturday,16.86886621315193,2019-01-12,1.0,0.0,0.0,1.0,0.0,0.0,0
377,561.0,9768.41,Sunday,17.412495543672016,2019-01-13,1.0,0.0,0.0,1.0,0.0,0.0,0
378,801.0,12348.02,Monday,15.415755305867666,2019-01-14,1.0,0.0,0.0,1.0,0.0,0.0,0
379,729.0,11731.57,Tuesday,16.092688614540467,2019-01-15,1.0,0.0,0.0,1.0,0.0,0.0,0
380,708.0,10613.18,Wednesday,14.990367231638418,2019-01-16,1.0,0.0,0.0,1.0,0.0,0.0,0
381,743.0,12599.0,Thursday,16.95693135935397,2019-01-17,1.0,0.0,0.0,1.0,0.0,0.0,0
382,821.0,13785.66,Friday,16.79130328867235,2019-01-18,1.0,0.0,0.0,1.0,0.0,0.0,0
383,953.0,17096.38,Saturday,17.939538300104932,2019-01-19,1.0,0.0,0.0,1.0,0.0,0.0,0
