,scontrini,totale,giorno,scontrino_medio,data,dummy_emilia_full_open,dummy_emilia_restricted_open,dummy_emilia_takeaway_only,dummy_lombardia_full_open,dummy_lombardia_restricted_open,dummy_lombardia_takeaway_only,is_post_covid
243,774.0,20716.77,Saturday,26.765852713178294,2018-09-01,1.0,0.0,0.0,1.0,0.0,0.0,0
244,664.0,17360.71,Sunday,26.145647590361445,2018-09-02,1.0,0.0,0.0,1.0,0.0,0.0,0
245,706.0,17965.21,Monday,25.446473087818696,2018-09-03,1.0,0.0,0.0,1.0,0.0,0.0,0
246,644.0,15124.61,Tuesday,23.485419254658385,2018-09-04,1.0,0.0,0.0,1.0,0.0,0.0,0
247,691.0,16779.77,Wednesday,24.283314037626628,2018-09-05,1.0,0.0,0.0,1.0,0.0,0.0,0
248,440.0,10646.5,Thursday,24.196590909090908,2018-09-06,1.0,0.0,0.0,1.0,0.0,0.0,0
249,782.0,19139.48,Friday,24.475038363171354,2018-09-07,1.0,0.0,0.0,1.0,0.0,0.0,0
250,817.0,21437.83,Saturday,26.239694002447983,2018-09-08,1.0,0.0,0.0,1.0,0.0,0.0,0
251,657.0,17846.34,Sunday,27.16337899543379,2018-09-09,1.0,0.0,0.0,1.0,0.0,0.0,0
252,918.0,21674.64,Monday,23.610718954248366,2018-09-10,1.0,0.0,0.0,1.0,0.0,0.0,0
253,768.0,18102.71,Tuesday,23.571236979166667,2018-09-11,1.0,0.0,0.0,1.0,0.0,0.0,0
254,949.0,24730.46,Wednesday,26.05949420442571,2018-09-12,1.0,0.0,0.0,1.0,0.0,0.0,0
255,748.0,18711.58,Thursday,25.015481283422464,2018-09-13,1.0,0.0,0.0,1.0,0.0,0.0,0
256,960.0,22904.29,Friday,23.85863541666667,2018-09-14,1.0,0.0,0.0,1.0,0.0,0.0,0
257,950.0,24448.32,Saturday,25.735073684210526,2018-09-15,1.0,0.0,0.0,1.0,0.0,0.0,0
258,680.0,17863.68,Sunday,26.270117647058825,2018-09-16,1.0,0.0,0.0,1.0,0.0,0.0,0
259,667.0,15960.48,Monday,23.928755622188906,2018-09-17,1.0,0.0,0.0,1.0,0.0,0.0,0
260,706.0,16227.31,Tuesday,22.98485835694051,2018-09-18,1.0,0.0,0.0,1.0,0.0,0.0,0
261,752.0,18560.79,Wednesday,24.681901595744684,2018-09-19,1.0,0.0,0.0,1.0,0.0,0.0,0
262,1075.0,22315.21,Thursday,20.75833488372093,2018-09-20,1.0,0.0,0.0,1.0,0.0,0.0,0
263,900.0,20283.43,Friday,22.537144444444444,2018-09-21,1.0,0.0,0.0,1.0,0.0,0.0,0
264,912.0,23070.03,Saturday,25.29608552631579,2018-09-22,1.0,0.0,0.0,1.0,0.0,0.0,0
265,604.0,15614.07,Sunday,25.85110927152318,2018-09-23,1.0,0.0,0.0,1.0,0.0,0.0,0
266,639.0,12722.92,Monday,19.910672926447575,2018-09-24,1.0,0.0,0.0,1.0,0.0,0.0,0
