,scontrini,totale,giorno,scontrino_medio,data,dummy_emilia_full_open,dummy_emilia_restricted_open,dummy_emilia_takeaway_only,dummy_lombardia_full_open,dummy_lombardia_restricted_open,dummy_lombardia_takeaway_only,is_post_covid
243,1158.0,35282.11,Saturday,30.468143350604493,2018-09-01,1.0,0.0,0.0,1.0,0.0,0.0,0
244,974.0,28216.62,Sunday,28.96983572895277,2018-09-02,1.0,0.0,0.0,1.0,0.0,0.0,0
245,808.0,20499.46,Monday,25.370618811881187,2018-09-03,1.0,0.0,0.0,1.0,0.0,0.0,0
246,731.0,19196.58,Tuesday,26.26071135430917,2018-09-04,1.0,0.0,0.0,1.0,0.0,0.0,0
247,760.0,19578.31,Wednesday,25.76093421052632,2018-09-05,1.0,0.0,0.0,1.0,0.0,0.0,0
248,741.0,20342.24,Thursday,27.45241565452092,2018-09-06,1.0,0.0,0.0,1.0,0.0,0.0,0
249,897.0,26632.54,Friday,29.69068004459309,2018-09-07,1.0,0.0,0.0,1.0,0.0,0.0,0
250,1066.0,32253.41,Saturday,30.256482176360226,2018-09-08,1.0,0.0,0.0,1.0,0.0,0.0,0
251,921.0,28025.09,Sunday,30.428979370249728,2018-09-09,1.0,0.0,0.0,1.0,0.0,0.0,0
252,784.0,22448.46,Monday,28.633239795918367,2018-09-10,1.0,0.0,0.0,1.0,0.0,0.0,0
253,806.0,22197.52,Tuesday,27.540347394540944,2018-09-11,1.0,0.0,0.0,1.0,0.0,0.0,0
254,804.0,21308.82,Wednesday,26.503507462686567,2018-09-12,1.0,0.0,0.0,1.0,0.0,0.0,0
255,778.0,19119.67,Thursday,24.575411311053983,2018-09-13,1.0,0.0,0.0,1.0,0.0,0.0,0
256,931.0,26352.64,Friday,28.305735767991408,2018-09-14,1.0,0.0,0.0,1.0,0.0,0.0,0
257,1056.0,31980.0,Saturday,30.28409090909091,2018-09-15,1.0,0.0,0.0,1.0,0.0,0.0,0
258,940.0,25862.37,Sunday,27.513159574468084,2018-09-16,1.0,0.0,0.0,1.0,0.0,0.0,0
259,724.0,19080.14,Monday,26.35378453038674,2018-09-17,1.0,0.0,0.0,1.0,0.0,0.0,0
260,674.0,17822.44,Tuesday,26.442789317507415,2018-09-18,1.0,0.0,0.0,1.0,0.0,0.0,0
261,694.0,18287.07,Wednesday,26.350244956772332,2018-09-19,1.0,0.0,0.0,1.0,0.0,0.0,0
262,928.0,21171.54,Thursday,22.814159482758622,2018-09-20,1.0,0.0,0.0,1.0,0.0,0.0,0
263,1066.0,28518.36,Friday,26.75268292682927,2018-09-21,1.0,0.0,0.0,1.0,0.0,0.0,0
264,1138.0,33448.46,Saturday,29.39231985940246,2018-09-22,1.0,0.0,0.0,1.0,0.0,0.0,0
265,926.0,25771.76,Sunday,27.831274298056154,2018-09-23,1.0,0.0,0.0,1.0,0.0,0.0,0
266,749.0,18625.28,Monday,24.86686248331108,2018-09-24,1.0,0.0,0.0,1.0,0.0,0.0,0
267,759.0,16711.87,Tuesday,22.01827404479578,2018-09-25,1.0,0.0,0.0,1.0,0.0,0.0,0
268,742.0,18426.13,Wednesday,24.833059299191376,2018-09-26,1.0,0.0,0.0,1.0,0.0,0.0,0
269,790.0,18035.85,Thursday,22.83018987341772,2018-09-27,1.0,0.0,0.0,1.0,0.0,0.0,0
270,1083.0,27170.89,Friday,25.08854108956602,2018-09-28,1.0,0.0,0.0,1.0,0.0,0.0,0
271,1263.0,33426.99,Saturday,26.466342042755343,2018-09-29,1.0,0.0,0.0,1.0,0.0,0.0,0
272,955.0,27546.79,Sunday,28.844806282722512,2018-09-30,1.0,0.0,0.0,1.0,0.0,0.0,0
273,707.0,18033.94,Monday,25.507694483734085,2018-10-01,1.0,0.0,0.0,1.0,0.0,0.0,0
274,675.0,16049.28,Tuesday,23.776711111111112,2018-10-02,1.0,0.0,0.0,1.0,0.0,0.0,0
275,723.0,18974.59,Wednesday,26.24424619640387,2018-10-03,1.0,0.0,0.0,1.0,0.0,0.0,0
276,714.0,18629.15,Thursday,26.091246498599443,2018-10-04,1.0,0.0,0.0,1.0,0.0,0.0,0
277,993.0,27162.66,Friday,27.354138972809668,2018-10-05,1.0,0.0,0.0,1.0,0.0,0.0,0
278,1098.0,32188.73,Saturday,29.31578324225865,2018-10-06,1.0,0.0,0.0,1.0,0.0,0.0,0
279,864.0,25753.57,Sunday,29.807372685185186,2018-10-07,1.0,0.0,0.0,1.0,0.0,0.0,0
280,673.0,16319.28,Monday,24.24855869242199,2018-10-08,1.0,0.0,0.0,1.0,0.0,0.0,0
281,633.0,16230.65,Tuesday,25.64083728278041,2018-10-09,1.0,0.0,0.0,1.0,0.0,0.0,0
282,684.0,17449.13,Wednesday,25.510423976608188,2018-10-10,1.0,0.0,0.0,1.0,0.0,0.0,0
283,773.0,20745.29,Thursday,26.837373868046573,2018-10-11,1.0,0.0,0.0,1.0,0.0,0.0,0
284,987.0,26035.28,Friday,26.37819655521783,2018-10-12,1.0,0.0,0.0,1.0,0.0,0.0,0
285,1195.0,34700.36,Saturday,29.037958158995817,2018-10-13,1.0,0.0,0.0,1.0,0.0,0.0,0
286,919.0,27589.04,Sunday,30.020718171926006,2018-10-14,1.0,0.0,0.0,1.0,0.0,0.0,0
287,657.0,17363.55,Monday,26.428538812785387,2018-10-15,1.0,0.0,0.0,1.0,0.0,0.0,0
288,700.0,17653.96,Tuesday,25.219942857142858,2018-10-16,1.0,0.0,0.0,1.0,0.0,0.0,0
289,671.0,17129.05,Wednesday,25.527645305514156,2018-10-17,1.0,0.0,0.0,1.0,0.0,0.0,0
290,737.0,19745.54,Thursday,26.79177747625509,2018-10-18,1.0,0.0,0.0,1.0,0.0,0.0,0
291,975.0,27088.0,Friday,27.782564102564102,2018-10-19,1.0,0.0,0.0,1.0,0.0,0.0,0
