,scontrini,totale,giorno,scontrino_medio,data,dummy_emilia_full_open,dummy_emilia_restricted_open,dummy_emilia_takeaway_only,dummy_lombardia_full_open,dummy_lombardia_restricted_open,dummy_lombardia_takeaway_only,is_post_covid
243,1276.0,37903.63,Saturday,29.705039184952977,2018-09-01,1.0,0.0,0.0,1.0,0.0,0.0,0
244,1070.0,32612.52,Sunday,30.478990654205607,2018-09-02,1.0,0.0,0.0,1.0,0.0,0.0,0
245,657.0,18721.47,Monday,28.495388127853882,2018-09-03,1.0,0.0,0.0,1.0,0.0,0.0,0
246,647.0,18962.33,Tuesday,29.308083462132924,2018-09-04,1.0,0.0,0.0,1.0,0.0,0.0,0
247,635.0,17765.62,Wednesday,27.97735433070866,2018-09-05,1.0,0.0,0.0,1.0,0.0,0.0,0
248,652.0,19102.57,Thursday,29.298420245398773,2018-09-06,1.0,0.0,0.0,1.0,0.0,0.0,0
249,886.0,25488.9,Friday,28.768510158013544,2018-09-07,1.0,0.0,0.0,1.0,0.0,0.0,0
250,1097.0,32575.64,Saturday,29.69520510483136,2018-09-08,1.0,0.0,0.0,1.0,0.0,0.0,0
251,874.0,25072.94,Sunday,28.68757437070938,2018-09-09,1.0,0.0,0.0,1.0,0.0,0.0,0
252,627.0,18584.34,Monday,29.640095693779905,2018-09-10,1.0,0.0,0.0,1.0,0.0,0.0,0
253,589.0,16702.2,Tuesday,28.356876061120545,2018-09-11,1.0,0.0,0.0,1.0,0.0,0.0,0
254,617.0,18511.86,Wednesday,30.003014586709888,2018-09-12,1.0,0.0,0.0,1.0,0.0,0.0,0
255,576.0,15433.36,Thursday,26.794027777777778,2018-09-13,1.0,0.0,0.0,1.0,0.0,0.0,0
256,803.0,22686.42,Friday,28.252079701120795,2018-09-14,1.0,0.0,0.0,1.0,0.0,0.0,0
257,1308.0,36077.4,Saturday,27.58211009174312,2018-09-15,1.0,0.0,0.0,1.0,0.0,0.0,0
258,835.0,26307.93,Sunday,31.506502994011978,2018-09-16,1.0,0.0,0.0,1.0,0.0,0.0,0
259,521.0,13738.39,Monday,26.369270633397313,2018-09-17,1.0,0.0,0.0,1.0,0.0,0.0,0
260,563.0,15066.98,Tuesday,26.761953818827706,2018-09-18,1.0,0.0,0.0,1.0,0.0,0.0,0
261,548.0,15636.16,Wednesday,28.533138686131387,2018-09-19,1.0,0.0,0.0,1.0,0.0,0.0,0
262,711.0,18266.98,Thursday,25.691954992967652,2018-09-20,1.0,0.0,0.0,1.0,0.0,0.0,0
263,778.0,21807.05,Friday,28.029627249357326,2018-09-21,1.0,0.0,0.0,1.0,0.0,0.0,0
264,1174.0,33418.94,Saturday,28.46587734241908,2018-09-22,1.0,0.0,0.0,1.0,0.0,0.0,0
265,1009.0,31502.8,Sunday,31.221803766105054,2018-09-23,1.0,0.0,0.0,1.0,0.0,0.0,0
266,460.0,10770.08,Monday,23.413217391304347,2018-09-24,1.0,0.0,0.0,1.0,0.0,0.0,0
267,502.0,13250.64,Tuesday,26.395697211155376,2018-09-25,1.0,0.0,0.0,1.0,0.0,0.0,0
268,470.0,11312.75,Wednesday,24.06968085106383,2018-09-26,1.0,0.0,0.0,1.0,0.0,0.0,0
269,490.0,11849.73,Thursday,24.183122448979592,2018-09-27,1.0,0.0,0.0,1.0,0.0,0.0,0
270,835.0,21370.32,Friday,25.59319760479042,2018-09-28,1.0,0.0,0.0,1.0,0.0,0.0,0
271,1202.0,34837.39,Saturday,28.98285357737105,2018-09-29,1.0,0.0,0.0,1.0,0.0,0.0,0
272,924.0,25549.43,Sunday,27.65089826839827,2018-09-30,1.0,0.0,0.0,1.0,0.0,0.0,0
273,444.0,11727.3,Monday,26.412837837837838,2018-10-01,1.0,0.0,0.0,1.0,0.0,0.0,0
274,486.0,12561.12,Tuesday,25.84592592592593,2018-10-02,1.0,0.0,0.0,1.0,0.0,0.0,0
275,454.0,11111.57,Wednesday,24.474823788546257,2018-10-03,1.0,0.0,0.0,1.0,0.0,0.0,0
276,427.0,11315.58,Thursday,26.500187353629975,2018-10-04,1.0,0.0,0.0,1.0,0.0,0.0,0
277,770.0,20834.42,Friday,27.05768831168831,2018-10-05,1.0,0.0,0.0,1.0,0.0,0.0,0
278,1292.0,35413.31,Saturday,27.4096826625387,2018-10-06,1.0,0.0,0.0,1.0,0.0,0.0,0
279,907.0,27359.72,Sunday,30.165071664829107,2018-10-07,1.0,0.0,0.0,1.0,0.0,0.0,0
280,411.0,10712.83,Monday,26.065279805352798,2018-10-08,1.0,0.0,0.0,1.0,0.0,0.0,0
281,406.0,9737.36,Tuesday,23.983645320197045,2018-10-09,1.0,0.0,0.0,1.0,0.0,0.0,0
282,483.0,12966.25,Wednesday,26.845238095238095,2018-10-10,1.0,0.0,0.0,1.0,0.0,0.0,0
283,483.0,13483.45,Thursday,27.916045548654246,2018-10-11,1.0,0.0,0.0,1.0,0.0,0.0,0
284,772.0,21433.46,Friday,27.763549222797927,2018-10-12,1.0,0.0,0.0,1.0,0.0,0.0,0
285,1220.0,34588.98,Saturday,28.351622950819674,2018-10-13,1.0,0.0,0.0,1.0,0.0,0.0,0
286,907.0,27493.38,Sunday,30.31243660418964,2018-10-14,1.0,0.0,0.0,1.0,0.0,0.0,0
287,436.0,11673.92,Monday,26.775045871559634,2018-10-15,1.0,0.0,0.0,1.0,0.0,0.0,0
288,398.0,10186.11,Tuesday,25.593241206030154,2018-10-16,1.0,0.0,0.0,1.0,0.0,0.0,0
289,468.0,11177.15,Wednesday,23.882799145299145,2018-10-17,1.0,0.0,0.0,1.0,0.0,0.0,0
290,430.0,10817.63,Thursday,25.15727906976744,2018-10-18,1.0,0.0,0.0,1.0,0.0,0.0,0
291,762.0,21378.93,Friday,28.056338582677167,2018-10-19,1.0,0.0,0.0,1.0,0.0,0.0,0
292,1291.0,35857.5,Saturday,27.77498063516654,2018-10-20,1.0,0.0,0.0,1.0,0.0,0.0,0
293,888.0,25369.78,Sunday,28.56957207207207,2018-10-21,1.0,0.0,0.0,1.0,0.0,0.0,0
294,425.0,11653.67,Monday,27.4204,2018-10-22,1.0,0.0,0.0,1.0,0.0,0.0,0
295,404.0,9804.91,Tuesday,24.269579207920792,2018-10-23,1.0,0.0,0.0,1.0,0.0,0.0,0
296,462.0,12188.31,Wednesday,26.381623376623377,2018-10-24,1.0,0.0,0.0,1.0,0.0,0.0,0
297,431.0,11165.86,Thursday,25.906867749419956,2018-10-25,1.0,0.0,0.0,1.0,0.0,0.0,0
298,654.0,19049.07,Friday,29.127018348623853,2018-10-26,1.0,0.0,0.0,1.0,0.0,0.0,0
299,1227.0,34521.18,Saturday,28.134621026894866,2018-10-27,1.0,0.0,0.0,1.0,0.0,0.0,0
300,108.5,30348.86,Sunday,279.7129953917051,2018-10-28,1.0,0.0,0.0,1.0,0.0,0.0,0
301,344.0,8503.03,Monday,24.718110465116283,2018-10-29,1.0,0.0,0.0,1.0,0.0,0.0,0
302,446.0,12092.37,Tuesday,27.112937219730945,2018-10-30,1.0,0.0,0.0,1.0,0.0,0.0,0
303,997.0,28608.03,Wednesday,28.69411233701103,2018-10-31,1.0,0.0,0.0,1.0,0.0,0.0,0
304,952.0,29553.3,Thursday,31.043382352941176,2018-11-01,1.0,0.0,0.0,1.0,0.0,0.0,0
305,863.0,25407.91,Friday,29.44137891077636,2018-11-02,1.0,0.0,0.0,1.0,0.0,0.0,0
306,1364.0,38330.67,Saturday,28.1016642228739,2018-11-03,1.0,0.0,0.0,1.0,0.0,0.0,0
307,972.0,29527.15,Sunday,30.37772633744856,2018-11-04,1.0,0.0,0.0,1.0,0.0,0.0,0
308,378.0,10034.45,Monday,26.546164021164024,2018-11-05,1.0,0.0,0.0,1.0,0.0,0.0,0
309,378.0,10415.65,Tuesday,27.554629629629627,2018-11-06,1.0,0.0,0.0,1.0,0.0,0.0,0
310,418.0,12200.6,Wednesday,29.188038277511964,2018-11-07,1.0,0.0,0.0,1.0,0.0,0.0,0
311,424.0,13164.5,Thursday,31.048349056603772,2018-11-08,1.0,0.0,0.0,1.0,0.0,0.0,0
312,660.0,18426.47,Friday,27.918893939393943,2018-11-09,1.0,0.0,0.0,1.0,0.0,0.0,0
313,1156.0,34527.6,Saturday,29.868166089965396,2018-11-10,1.0,0.0,0.0,1.0,0.0,0.0,0
314,894.0,28064.96,Sunday,31.392572706935123,2018-11-11,1.0,0.0,0.0,1.0,0.0,0.0,0
315,386.0,10587.6,Monday,27.42901554404145,2018-11-12,1.0,0.0,0.0,1.0,0.0,0.0,0
316,415.0,10461.24,Tuesday,25.207807228915662,2018-11-13,1.0,0.0,0.0,1.0,0.0,0.0,0
317,487.0,12507.86,Wednesday,25.683490759753596,2018-11-14,1.0,0.0,0.0,1.0,0.0,0.0,0
318,465.0,12547.55,Thursday,26.983978494623653,2018-11-15,1.0,0.0,0.0,1.0,0.0,0.0,0
319,767.0,23041.79,Friday,30.041447196870926,2018-11-16,1.0,0.0,0.0,1.0,0.0,0.0,0
320,1225.0,36591.08,Saturday,29.870269387755105,2018-11-17,1.0,0.0,0.0,1.0,0.0,0.0,0
321,998.0,31078.73,Sunday,31.141012024048095,2018-11-18,1.0,0.0,0.0,1.0,0.0,0.0,0
322,418.0,10593.18,Monday,25.342535885167464,2018-11-19,1.0,0.0,0.0,1.0,0.0,0.0,0
323,464.0,12729.85,Tuesday,27.435021551724137,2018-11-20,1.0,0.0,0.0,1.0,0.0,0.0,0
324,506.0,12762.24,Wednesday,25.221818181818183,2018-11-21,1.0,0.0,0.0,1.0,0.0,0.0,0
325,526.0,12052.37,Thursday,22.913250950570344,2018-11-22,1.0,0.0,0.0,1.0,0.0,0.0,0
326,904.0,25858.72,Friday,28.604778761061947,2018-11-23,1.0,0.0,0.0,1.0,0.0,0.0,0
327,1391.0,38408.23,Saturday,27.611955427749823,2018-11-24,1.0,0.0,0.0,1.0,0.0,0.0,0
328,1075.0,32224.2,Sunday,29.976,2018-11-25,1.0,0.0,0.0,1.0,0.0,0.0,0
329,446.0,11659.16,Monday,26.141614349775786,2018-11-26,1.0,0.0,0.0,1.0,0.0,0.0,0
330,419.0,10938.35,Tuesday,26.10584725536993,2018-11-27,1.0,0.0,0.0,1.0,0.0,0.0,0
331,444.0,11596.85,Wednesday,26.119031531531533,2018-11-28,1.0,0.0,0.0,1.0,0.0,0.0,0
332,440.0,12134.8,Thursday,27.579090909090908,2018-11-29,1.0,0.0,0.0,1.0,0.0,0.0,0
333,744.0,20998.16,Friday,28.223333333333333,2018-11-30,1.0,0.0,0.0,1.0,0.0,0.0,0
334,1608.0,43061.65,Saturday,26.779633084577114,2018-12-01,1.0,0.0,0.0,1.0,0.0,0.0,0
335,1001.0,32705.31,Sunday,32.67263736263737,2018-12-02,1.0,0.0,0.0,1.0,0.0,0.0,0
